Start Time,End Time,Heart
2023-05-20 10:51:00,2023-05-20 10:52:00,1
2023-05-20 13:07:00,2023-05-20 13:08:00,1
2023-05-20 13:08:00,2023-05-20 13:09:00,1
2023-05-20 13:09:00,2023-05-20 13:10:00,1
2023-05-20 13:10:00,2023-05-20 13:11:00,1
2023-05-20 13:36:00,2023-05-20 13:37:00,1
2023-05-20 13:44:00,2023-05-20 13:45:00,1
2023-05-20 13:45:00,2023-05-20 13:46:00,1
2023-05-20 13:58:00,2023-05-20 13:59:00,1
2023-05-20 13:59:00,2023-05-20 14:00:00,1
2023-05-20 14:00:00,2023-05-20 14:01:00,1
2023-05-20 16:36:00,2023-05-20 16:37:00,1
2023-05-20 16:37:00,2023-05-20 16:38:00,1
2023-05-20 16:38:00,2023-05-20 16:39:00,1
2023-05-20 16:44:00,2023-05-20 16:45:00,1
2023-05-20 19:09:00,2023-05-20 19:10:00,1
2023-05-20 19:10:00,2023-05-20 19:11:00,1
2023-05-20 19:11:00,2023-05-20 19:12:00,1
2023-05-20 19:30:00,2023-05-20 19:31:00,1
2023-05-20 19:31:00,2023-05-20 19:32:00,1
2023-05-20 19:32:00,2023-05-20 19:33:00,1
2023-05-20 19:33:00,2023-05-20 19:34:00,1
2023-05-21 08:52:00,2023-05-21 08:53:00,1
2023-05-21 08:53:00,2023-05-21 08:54:00,1
2023-05-21 08:54:00,2023-05-21 08:55:00,1
2023-05-21 09:09:00,2023-05-21 09:10:00,1
2023-05-21 09:10:00,2023-05-21 09:11:00,1
2023-05-21 09:11:00,2023-05-21 09:12:00,1
2023-05-21 09:12:00,2023-05-21 09:13:00,1
2023-05-21 09:31:00,2023-05-21 09:32:00,1
2023-05-21 09:50:00,2023-05-21 09:51:00,1
2023-05-21 09:51:00,2023-05-21 09:52:00,1
2023-05-21 09:52:00,2023-05-21 09:53:00,1
2023-05-21 09:53:00,2023-05-21 09:54:00,1
2023-05-21 09:54:00,2023-05-21 09:55:00,1
2023-05-21 09:55:00,2023-05-21 09:56:00,1
2023-05-21 09:56:00,2023-05-21 09:57:00,1
2023-05-21 11:10:00,2023-05-21 11:11:00,1
2023-05-21 11:11:00,2023-05-21 11:12:00,1
2023-05-21 11:12:00,2023-05-21 11:13:00,1
2023-05-21 11:13:00,2023-05-21 11:14:00,1
2023-05-21 11:14:00,2023-05-21 11:15:00,1
2023-05-21 11:15:00,2023-05-21 11:16:00,1
2023-05-21 11:16:00,2023-05-21 11:17:00,1
2023-05-21 11:17:00,2023-05-21 11:18:00,1
2023-05-21 11:18:00,2023-05-21 11:19:00,1
2023-05-21 11:19:00,2023-05-21 11:20:00,1
2023-05-21 16:18:00,2023-05-21 16:19:00,1
2023-05-21 16:19:00,2023-05-21 16:20:00,1
2023-05-21 16:20:00,2023-05-21 16:21:00,1
2023-05-21 16:31:00,2023-05-21 16:32:00,1
2023-05-21 16:32:00,2023-05-21 16:33:00,1
2023-05-21 16:33:00,2023-05-21 16:34:00,1
2023-05-21 16:34:00,2023-05-21 16:35:00,1
2023-05-21 19:50:00,2023-05-21 19:51:00,1
2023-05-21 19:51:00,2023-05-21 19:52:00,1
2023-05-21 20:14:00,2023-05-21 20:15:00,1
2023-05-21 20:15:00,2023-05-21 20:16:00,1
2023-05-21 20:16:00,2023-05-21 20:17:00,1
2023-05-21 20:17:00,2023-05-21 20:18:00,1
2023-05-21 20:18:00,2023-05-21 20:19:00,1
2023-05-21 20:19:00,2023-05-21 20:20:00,1
2023-05-21 20:20:00,2023-05-21 20:21:00,1
2023-05-21 23:16:00,2023-05-21 23:17:00,1
2023-05-22 07:50:00,2023-05-22 07:51:00,1
2023-05-22 07:51:00,2023-05-22 07:52:00,1
2023-05-22 07:52:00,2023-05-22 07:53:00,1
2023-05-22 08:36:00,2023-05-22 08:37:00,1
2023-05-22 08:40:00,2023-05-22 08:41:00,1
2023-05-22 08:41:00,2023-05-22 08:42:00,1
2023-05-22 08:42:00,2023-05-22 08:43:00,1
2023-05-22 08:45:00,2023-05-22 08:46:00,1
2023-05-22 08:46:00,2023-05-22 08:47:00,1
2023-05-22 13:04:00,2023-05-22 13:05:00,1
2023-05-22 13:07:00,2023-05-22 13:08:00,1
2023-05-22 13:08:00,2023-05-22 13:09:00,1
2023-05-22 13:09:00,2023-05-22 13:10:00,1
2023-05-22 13:31:00,2023-05-22 13:32:00,1
2023-05-22 13:32:00,2023-05-22 13:33:00,1
2023-05-22 13:36:00,2023-05-22 13:37:00,1
2023-05-22 13:37:00,2023-05-22 13:38:00,1
2023-05-22 13:38:00,2023-05-22 13:39:00,1
2023-05-22 13:39:00,2023-05-22 13:40:00,1
2023-05-22 13:40:00,2023-05-22 13:41:00,1
2023-05-22 13:41:00,2023-05-22 13:42:00,1
2023-05-22 16:40:00,2023-05-22 16:41:00,1
2023-05-22 20:17:00,2023-05-22 20:18:00,1
2023-05-22 20:18:00,2023-05-22 20:19:00,1
2023-05-22 20:19:00,2023-05-22 20:20:00,1
2023-05-22 20:20:00,2023-05-22 20:21:00,1
2023-05-22 20:21:00,2023-05-22 20:22:00,1
2023-05-22 20:22:00,2023-05-22 20:23:00,1
2023-05-22 20:23:00,2023-05-22 20:24:00,1
2023-05-22 20:24:00,2023-05-22 20:25:00,1
2023-05-22 22:00:00,2023-05-22 22:01:00,1
2023-05-22 22:01:00,2023-05-22 22:02:00,1
2023-05-22 22:02:00,2023-05-22 22:03:00,1
2023-05-22 22:06:00,2023-05-22 22:07:00,1
2023-05-22 22:07:00,2023-05-22 22:08:00,1
2023-05-22 22:08:00,2023-05-22 22:09:00,1
2023-05-22 22:09:00,2023-05-22 22:10:00,1
2023-05-22 22:10:00,2023-05-22 22:11:00,1
2023-05-23 07:35:00,2023-05-23 07:36:00,1
2023-05-23 07:36:00,2023-05-23 07:37:00,1
2023-05-23 07:37:00,2023-05-23 07:38:00,1
2023-05-23 07:58:00,2023-05-23 07:59:00,1
2023-05-23 07:59:00,2023-05-23 08:00:00,1
2023-05-23 08:00:00,2023-05-23 08:01:00,1
2023-05-23 08:34:00,2023-05-23 08:35:00,1
2023-05-23 08:35:00,2023-05-23 08:36:00,1
2023-05-23 10:57:00,2023-05-23 10:58:00,1
2023-05-23 10:59:00,2023-05-23 11:00:00,1
2023-05-23 11:03:00,2023-05-23 11:04:00,1
2023-05-23 13:12:00,2023-05-23 13:13:00,1
2023-05-23 13:14:00,2023-05-23 13:15:00,1
2023-05-23 13:15:00,2023-05-23 13:16:00,1
2023-05-23 13:23:00,2023-05-23 13:24:00,1
2023-05-23 13:51:00,2023-05-23 13:52:00,1
2023-05-23 13:52:00,2023-05-23 13:53:00,1
2023-05-23 13:53:00,2023-05-23 13:54:00,1
2023-05-23 13:54:00,2023-05-23 13:55:00,1
2023-05-23 16:33:00,2023-05-23 16:34:00,1
2023-05-23 16:34:00,2023-05-23 16:35:00,1
2023-05-23 16:35:00,2023-05-23 16:36:00,1
2023-05-23 16:38:00,2023-05-23 16:39:00,1
2023-05-23 16:39:00,2023-05-23 16:40:00,1
2023-05-23 16:40:00,2023-05-23 16:41:00,1
2023-05-23 19:07:00,2023-05-23 19:08:00,1
2023-05-23 19:08:00,2023-05-23 19:09:00,1
2023-05-23 19:09:00,2023-05-23 19:10:00,1
2023-05-23 19:10:00,2023-05-23 19:11:00,1
2023-05-23 20:13:00,2023-05-23 20:14:00,1
2023-05-23 20:14:00,2023-05-23 20:15:00,1
2023-05-23 20:15:00,2023-05-23 20:16:00,1
2023-05-23 20:17:00,2023-05-23 20:18:00,1
2023-05-23 22:13:00,2023-05-23 22:14:00,1
2023-05-23 22:14:00,2023-05-23 22:15:00,1
2023-05-23 22:15:00,2023-05-23 22:16:00,1
2023-05-23 22:16:00,2023-05-23 22:17:00,1
2023-05-23 22:19:00,2023-05-23 22:20:00,1
2023-05-23 22:20:00,2023-05-23 22:21:00,1
2023-05-24 07:37:00,2023-05-24 07:38:00,1
2023-05-24 07:38:00,2023-05-24 07:39:00,1
2023-05-24 07:56:00,2023-05-24 07:57:00,1
2023-05-24 07:57:00,2023-05-24 07:58:00,1
2023-05-24 07:58:00,2023-05-24 07:59:00,1
2023-05-24 08:36:00,2023-05-24 08:37:00,1
2023-05-24 08:37:00,2023-05-24 08:38:00,1
2023-05-24 08:39:00,2023-05-24 08:40:00,1
2023-05-24 08:40:00,2023-05-24 08:41:00,1
2023-05-24 08:41:00,2023-05-24 08:42:00,1
2023-05-24 08:45:00,2023-05-24 08:46:00,1
2023-05-24 12:21:00,2023-05-24 12:22:00,1
2023-05-24 12:23:00,2023-05-24 12:24:00,1
2023-05-24 12:24:00,2023-05-24 12:25:00,1
2023-05-24 12:25:00,2023-05-24 12:26:00,1
2023-05-24 12:26:00,2023-05-24 12:27:00,1
2023-05-24 12:34:00,2023-05-24 12:35:00,1
2023-05-24 12:42:00,2023-05-24 12:43:00,1
2023-05-24 15:55:00,2023-05-24 15:56:00,1
2023-05-24 16:04:00,2023-05-24 16:05:00,1
2023-05-24 16:05:00,2023-05-24 16:06:00,1
2023-05-24 16:06:00,2023-05-24 16:07:00,1
2023-05-24 16:07:00,2023-05-24 16:08:00,1
2023-05-24 16:08:00,2023-05-24 16:09:00,1
2023-05-24 16:09:00,2023-05-24 16:10:00,1
2023-05-24 16:10:00,2023-05-24 16:11:00,1
2023-05-24 16:11:00,2023-05-24 16:12:00,1
2023-05-24 16:12:00,2023-05-24 16:13:00,1
2023-05-24 18:15:00,2023-05-24 18:16:00,1
2023-05-24 18:17:00,2023-05-24 18:18:00,1
2023-05-24 18:19:00,2023-05-24 18:20:00,1
2023-05-24 18:25:00,2023-05-24 18:26:00,1
2023-05-24 18:26:00,2023-05-24 18:27:00,1
2023-05-24 18:27:00,2023-05-24 18:28:00,1
2023-05-24 18:28:00,2023-05-24 18:29:00,1
2023-05-24 18:29:00,2023-05-24 18:30:00,1
2023-05-24 18:30:00,2023-05-24 18:31:00,1
2023-05-24 18:31:00,2023-05-24 18:32:00,1
2023-05-24 18:32:00,2023-05-24 18:33:00,1
2023-05-24 18:33:00,2023-05-24 18:34:00,1
2023-05-24 18:34:00,2023-05-24 18:35:00,1
2023-05-24 18:35:00,2023-05-24 18:36:00,1
2023-05-24 18:36:00,2023-05-24 18:37:00,1
2023-05-24 18:37:00,2023-05-24 18:38:00,1
2023-05-24 18:38:00,2023-05-24 18:39:00,1
2023-05-24 18:39:00,2023-05-24 18:40:00,1
2023-05-24 18:40:00,2023-05-24 18:41:00,1
2023-05-24 18:41:00,2023-05-24 18:42:00,1
2023-05-24 18:42:00,2023-05-24 18:43:00,1
2023-05-24 18:56:00,2023-05-24 18:57:00,1
2023-05-24 18:57:00,2023-05-24 18:58:00,1
2023-05-24 18:58:00,2023-05-24 18:59:00,1
2023-05-24 18:59:00,2023-05-24 19:00:00,1
2023-05-24 19:00:00,2023-05-24 19:01:00,1
2023-05-24 19:01:00,2023-05-24 19:02:00,1
2023-05-24 19:02:00,2023-05-24 19:03:00,1
2023-05-24 19:03:00,2023-05-24 19:04:00,1
2023-05-24 19:04:00,2023-05-24 19:05:00,1
2023-05-24 19:05:00,2023-05-24 19:06:00,1
2023-05-24 19:06:00,2023-05-24 19:07:00,1
2023-05-24 19:07:00,2023-05-24 19:08:00,1
2023-05-24 19:08:00,2023-05-24 19:09:00,1
2023-05-24 19:09:00,2023-05-24 19:10:00,1
2023-05-24 19:10:00,2023-05-24 19:11:00,1
2023-05-24 19:11:00,2023-05-24 19:12:00,1
2023-05-24 19:12:00,2023-05-24 19:13:00,1
2023-06-01 05:40:00,2023-06-01 05:41:00,1
2023-06-01 07:21:00,2023-06-01 07:22:00,1
2023-06-01 07:22:00,2023-06-01 07:23:00,1
2023-06-01 07:57:00,2023-06-01 07:58:00,1
2023-06-01 07:58:00,2023-06-01 07:59:00,1
2023-06-01 07:59:00,2023-06-01 08:00:00,1
2023-06-01 08:00:00,2023-06-01 08:01:00,1
2023-06-01 08:01:00,2023-06-01 08:02:00,1
2023-06-01 08:02:00,2023-06-01 08:03:00,1
2023-06-01 08:03:00,2023-06-01 08:04:00,1
2023-06-01 08:04:00,2023-06-01 08:05:00,1
2023-06-01 08:05:00,2023-06-01 08:06:00,1
2023-06-01 08:06:00,2023-06-01 08:07:00,1
2023-06-01 08:07:00,2023-06-01 08:08:00,1
2023-06-01 08:08:00,2023-06-01 08:09:00,1
2023-06-01 08:09:00,2023-06-01 08:10:00,1
2023-06-01 08:10:00,2023-06-01 08:11:00,1
2023-06-01 08:11:00,2023-06-01 08:12:00,1
2023-06-01 08:12:00,2023-06-01 08:13:00,1
2023-06-01 08:13:00,2023-06-01 08:14:00,1
2023-06-01 08:14:00,2023-06-01 08:15:00,1
2023-06-01 08:15:00,2023-06-01 08:16:00,1
2023-06-01 08:16:00,2023-06-01 08:17:00,1
2023-06-01 08:17:00,2023-06-01 08:18:00,1
2023-06-01 08:33:00,2023-06-01 08:34:00,1
2023-06-01 08:34:00,2023-06-01 08:35:00,1
2023-06-01 08:35:00,2023-06-01 08:36:00,1
2023-06-01 12:03:00,2023-06-01 12:04:00,1
2023-06-01 12:04:00,2023-06-01 12:05:00,1
2023-06-01 12:42:00,2023-06-01 12:43:00,1
2023-06-01 12:45:00,2023-06-01 12:46:00,1
2023-06-01 12:53:00,2023-06-01 12:54:00,1
2023-06-01 13:34:00,2023-06-01 13:35:00,1
2023-06-01 13:57:00,2023-06-01 13:58:00,1
2023-06-01 13:58:00,2023-06-01 13:59:00,1
2023-06-01 13:59:00,2023-06-01 14:00:00,1
2023-06-01 14:01:00,2023-06-01 14:02:00,1
2023-06-01 14:04:00,2023-06-01 14:05:00,1
2023-06-01 14:05:00,2023-06-01 14:06:00,1
2023-06-01 15:33:00,2023-06-01 15:34:00,1
