Start Time,End Time,Steps
2023-05-20 10:41:45,2023-05-20 10:45:45,120
2023-05-20 10:45:45,2023-05-20 10:46:20,42
2023-05-20 10:47:33,2023-05-20 10:48:33,7
2023-05-20 10:49:11,2023-05-20 10:51:03,56
2023-05-20 10:51:03,2023-05-20 10:51:14,20
2023-05-20 10:51:14,2023-05-20 10:52:03,87
2023-05-20 10:52:03,2023-05-20 10:52:51,19
2023-05-20 10:54:07,2023-05-20 10:55:41,47
2023-05-20 10:55:41,2023-05-20 10:55:45,9
2023-05-20 10:55:45,2023-05-20 10:56:41,35
2023-05-20 10:56:41,2023-05-20 10:56:43,4
2023-05-20 10:59:08,2023-05-20 11:00:08,15
2023-05-20 11:00:08,2023-05-20 11:00:26,26
2023-05-20 11:01:57,2023-05-20 11:03:15,39
2023-05-20 11:03:15,2023-05-20 11:04:24,45
2023-05-20 11:04:32,2023-05-20 11:05:32,30
2023-05-20 11:06:38,2023-05-20 11:07:38,22
2023-05-20 11:07:38,2023-05-20 11:07:50,19
2023-05-20 11:16:13,2023-05-20 11:17:27,37
2023-05-20 11:20:46,2023-05-20 11:21:46,21
2023-05-20 13:00:16,2023-05-20 13:01:52,48
2023-05-20 13:01:52,2023-05-20 13:01:55,5
2023-05-20 13:01:55,2023-05-20 13:02:53,91
2023-05-20 13:02:53,2023-05-20 13:03:40,53
2023-05-20 13:03:40,2023-05-20 13:04:11,17
2023-05-20 13:04:11,2023-05-20 13:06:09,115
2023-05-20 13:06:09,2023-05-20 13:07:09,105
2023-05-20 13:07:09,2023-05-20 13:08:10,110
2023-05-20 13:08:10,2023-05-20 13:09:21,129
2023-05-20 13:09:21,2023-05-20 13:09:37,31
2023-05-20 13:09:37,2023-05-20 13:10:38,117
2023-05-20 13:10:38,2023-05-20 13:11:05,51
2023-05-20 13:11:05,2023-05-20 13:11:45,56
2023-05-20 13:11:45,2023-05-20 13:11:56,8
2023-05-20 13:12:05,2023-05-20 13:13:05,24
2023-05-20 13:13:05,2023-05-20 13:13:29,26
2023-05-20 13:17:26,2023-05-20 13:18:26,8
2023-05-20 13:19:06,2023-05-20 13:20:06,7
2023-05-20 13:20:45,2023-05-20 13:21:45,21
2023-05-20 13:22:36,2023-05-20 13:23:36,21
2023-05-20 13:24:52,2023-05-20 13:25:52,14
2023-05-20 13:25:52,2023-05-20 13:26:05,22
2023-05-20 13:26:05,2023-05-20 13:26:48,22
2023-05-20 13:27:45,2023-05-20 13:28:45,6
2023-05-20 13:29:01,2023-05-20 13:30:01,10
2023-05-20 13:32:16,2023-05-20 13:34:14,59
2023-05-20 13:34:14,2023-05-20 13:35:16,33
2023-05-20 13:35:16,2023-05-20 13:35:52,50
2023-05-20 13:35:52,2023-05-20 13:36:24,51
2023-05-20 13:36:24,2023-05-20 13:37:04,70
2023-05-20 13:37:04,2023-05-20 13:37:44,68
2023-05-20 13:37:44,2023-05-20 13:38:15,44
2023-05-20 13:38:15,2023-05-20 13:38:41,49
2023-05-20 13:38:41,2023-05-20 13:39:01,7
2023-05-20 13:39:01,2023-05-20 13:39:57,14
2023-05-20 13:39:57,2023-05-20 13:40:34,45
2023-05-20 13:40:54,2023-05-20 13:41:54,18
2023-05-20 13:42:31,2023-05-20 13:43:31,26
2023-05-20 13:43:31,2023-05-20 13:43:38,11
2023-05-20 13:43:38,2023-05-20 13:44:42,112
2023-05-20 13:44:42,2023-05-20 13:44:55,23
2023-05-20 13:44:55,2023-05-20 13:45:56,107
2023-05-20 13:45:56,2023-05-20 13:46:12,30
2023-05-20 13:46:12,2023-05-20 13:47:00,64
2023-05-20 13:47:42,2023-05-20 13:48:42,9
2023-05-20 13:48:42,2023-05-20 13:48:56,7
2023-05-20 13:49:05,2023-05-20 13:50:05,10
2023-05-20 13:52:42,2023-05-20 13:53:38,6
2023-05-20 13:53:38,2023-05-20 13:53:42,0
2023-05-20 13:55:40,2023-05-20 13:57:40,60
2023-05-20 13:57:40,2023-05-20 13:57:45,10
2023-05-20 13:57:45,2023-05-20 13:58:46,120
2023-05-20 13:58:46,2023-05-20 13:59:14,46
2023-05-20 13:59:14,2023-05-20 13:59:16,3
2023-05-20 13:59:16,2023-05-20 14:00:00,81
2023-05-20 14:00:00,2023-05-20 14:00:31,56
2023-05-20 14:00:31,2023-05-20 14:00:45,26
2023-05-20 14:00:45,2023-05-20 14:01:06,38
2023-05-20 14:01:06,2023-05-20 14:01:39,60
2023-05-20 14:01:39,2023-05-20 14:02:08,33
2023-05-20 14:02:08,2023-05-20 14:02:24,24
2023-05-20 14:02:24,2023-05-20 14:03:02,68
2023-05-20 16:25:50,2023-05-20 16:28:52,91
2023-05-20 16:28:52,2023-05-20 16:29:21,56
2023-05-20 16:30:44,2023-05-20 16:31:44,6
2023-05-20 16:31:44,2023-05-20 16:32:25,22
2023-05-20 16:33:51,2023-05-20 16:35:17,43
2023-05-20 16:35:17,2023-05-20 16:36:02,70
2023-05-20 16:36:02,2023-05-20 16:36:18,26
2023-05-20 16:36:18,2023-05-20 16:37:03,76
2023-05-20 16:37:03,2023-05-20 16:37:14,19
2023-05-20 16:37:14,2023-05-20 16:38:03,84
2023-05-20 16:38:03,2023-05-20 16:38:19,29
2023-05-20 16:38:19,2023-05-20 16:39:04,82
2023-05-20 16:39:04,2023-05-20 16:39:20,28
2023-05-20 16:39:20,2023-05-20 16:40:04,58
2023-05-20 16:40:04,2023-05-20 16:40:20,26
2023-05-20 16:40:20,2023-05-20 16:41:04,65
2023-05-20 16:41:04,2023-05-20 16:41:20,24
2023-05-20 16:41:20,2023-05-20 16:42:05,57
2023-05-20 16:42:05,2023-05-20 16:42:21,26
2023-05-20 16:42:21,2023-05-20 16:43:05,63
2023-05-20 16:43:05,2023-05-20 16:43:21,27
2023-05-20 16:43:21,2023-05-20 16:44:05,74
2023-05-20 16:44:05,2023-05-20 16:44:21,27
2023-05-20 16:44:21,2023-05-20 16:45:24,109
2023-05-20 16:45:24,2023-05-20 16:46:01,45
2023-05-20 16:46:59,2023-05-20 16:47:59,29
2023-05-20 17:01:12,2023-05-20 17:03:04,56
2023-05-20 17:03:04,2023-05-20 17:03:11,16
2023-05-20 17:08:10,2023-05-20 17:09:14,32
2023-05-20 17:09:14,2023-05-20 17:09:27,17
2023-05-20 17:10:35,2023-05-20 17:11:35,9
2023-05-20 17:11:35,2023-05-20 17:11:58,11
2023-05-20 17:22:31,2023-05-20 17:23:31,21
2023-05-20 17:23:50,2023-05-20 17:25:14,42
2023-05-20 17:25:14,2023-05-20 17:25:52,62
2023-05-20 17:25:52,2023-05-20 17:25:57,8
2023-05-20 18:00:15,2023-05-20 18:01:15,23
2023-05-20 18:01:51,2023-05-20 18:02:51,6
2023-05-20 18:57:47,2023-05-20 18:58:47,6
2023-05-20 19:04:34,2023-05-20 19:05:11,18
2023-05-20 19:05:11,2023-05-20 19:06:33,89
2023-05-20 19:07:11,2023-05-20 19:08:11,21
2023-05-20 19:08:11,2023-05-20 19:09:11,101
2023-05-20 19:09:11,2023-05-20 19:10:11,111
2023-05-20 19:10:11,2023-05-20 19:11:12,117
2023-05-20 19:11:12,2023-05-20 19:12:12,121
2023-05-20 19:12:12,2023-05-20 19:12:32,37
2023-05-20 19:29:02,2023-05-20 19:30:02,18
2023-05-20 19:30:02,2023-05-20 19:30:57,110
2023-05-20 19:30:57,2023-05-20 19:32:08,143
2023-05-20 19:32:08,2023-05-20 19:33:07,118
2023-05-20 19:33:07,2023-05-20 19:33:39,49
2023-05-20 19:33:39,2023-05-20 19:34:03,42
2023-05-20 19:34:03,2023-05-20 19:34:31,50
2023-05-20 19:35:29,2023-05-20 19:36:29,9
2023-05-20 19:59:20,2023-05-20 20:02:18,89
2023-05-20 20:02:18,2023-05-20 20:02:48,35
2023-05-20 20:02:48,2023-05-20 20:03:18,30
2023-05-20 20:03:18,2023-05-20 20:03:21,4
2023-05-20 21:27:24,2023-05-20 21:28:24,15
2023-05-20 21:34:58,2023-05-20 21:38:12,97
2023-05-20 21:38:12,2023-05-20 21:38:14,5
2023-05-20 22:06:51,2023-05-20 22:07:51,6
2023-05-20 22:11:13,2023-05-20 22:12:13,7
2023-05-20 22:33:20,2023-05-20 22:34:20,28
2023-05-21 08:27:57,2023-05-21 08:29:55,90
2023-05-21 08:36:10,2023-05-21 08:37:10,13
2023-05-21 08:37:10,2023-05-21 08:38:46,91
2023-05-21 08:38:46,2023-05-21 08:39:57,48
2023-05-21 08:39:57,2023-05-21 08:40:25,55
2023-05-21 08:40:25,2023-05-21 08:42:35,75
2023-05-21 08:42:35,2023-05-21 08:43:33,62
2023-05-21 08:50:10,2023-05-21 08:51:10,7
2023-05-21 08:51:10,2023-05-21 08:52:11,98
2023-05-21 08:52:11,2023-05-21 08:53:12,115
2023-05-21 08:53:12,2023-05-21 08:54:12,111
2023-05-21 08:54:12,2023-05-21 08:55:12,99
2023-05-21 08:55:12,2023-05-21 08:55:47,54
2023-05-21 08:55:57,2023-05-21 08:57:09,36
2023-05-21 08:57:09,2023-05-21 08:57:23,11
2023-05-21 09:05:51,2023-05-21 09:06:51,8
2023-05-21 09:06:51,2023-05-21 09:06:58,17
2023-05-21 09:06:58,2023-05-21 09:07:51,93
2023-05-21 09:07:51,2023-05-21 09:08:51,10
